Internals 	 minnodeR: 0 	 TSnode: 2 	 minnodeP: 8
Translation-X 1-12	1.0324175	1.05643540196	1.03241749917
Translation-Y 1-12	1.11164166667	1.13150684112	1.1116416675
Translation-Z 1-12	-1.50298416667	-1.49516898772	-1.50298416667
Rotation-A 1-12	-1.84877316591e-07	-0.00165799533552	-1.00713830537e-06
Rotation-B 1-12	4.09785647234e-07	0.00450114261387	2.70393381654e-07
Rotation-C 1-12	-3.05206176182e-07	0.00590206469557	5.99612497464e-07
Distance 1-9	1.09393422926	1.08745652593	1.09127605183
Distance 1-2	1.5316239305	1.81142854449	1.53694848996
Distance 1-4	1.40134097307	1.31231796447	1.42782284445
Distance 1-8	1.09717971348	1.07947891268	1.09662667127
Distance 2-3	1.49913476825	1.62742586631	3.12447668687
Distance 2-12	1.09103830022	1.08006258504	1.09864319849
Distance 2-5	2.92337009411	2.24759433133	1.4011739907
Distance 2-11	1.09502174969	1.09424754747	1.09283774719
Distance 3-4	3.75868478881	2.98017464539	1.32190649144
Distance 3-6	1.19679288018	1.20776857207	1.19503419218
Distance 3-10	1.10945930724	1.10221800342	1.10247530005
Distance 4-5	1.42933293012	1.91735771851	3.67871643306
Distance 5-7	0.966188226292	0.95615703447	0.964411301929
Angle 2-1-9	1.93748769077	2.47339523429	1.92666705622
Angle 2-1-4	1.97068214849	1.18962366463	1.93721469462
Angle 2-1-8	1.92334343284	1.46234300933	1.91805251373
Angle 4-1-9	1.79616991941	1.60099868643	1.85445324826
Angle 4-1-8	1.92080299847	2.19355805115	1.90498989109
Angle 8-1-9	1.91143089823	2.31677558187	1.92151621516
Angle 1-2-3	1.9646239523	1.59837320043	0.808858283637
Angle 1-2-12	1.92620654853	2.13045532607	1.90360464107
Angle 1-2-11	1.89113951393	2.11901018823	1.91146297656
Angle 3-2-12	1.92551425399	1.78349669547	1.18136888561
Angle 3-2-5	2.70934552351	2.80131862379	2.57927444991
Angle 5-2-12	1.16516276803	1.33490264089	1.94423701476
Angle 5-2-11	1.68985690529	1.60571539433	1.8530915175
Angle 11-2-12	1.88436183368	1.88311736982	1.89899722949
Angle 2-3-10	1.98153422088	2.09523890007	2.44452136082
Angle 4-3-10	1.62956120383	1.6700751308	1.89567268457
Angle 6-3-10	2.11261084517	2.12594285141	2.17426059331
Angle 1-4-3	0.391824427591	0.956052421212	2.04042510164
Angle 1-4-5	1.90987264344	1.69521920653	0.407001151872
Angle 3-4-5	1.81344373719	1.75014321016	1.97811803886
Angle 2-5-7	2.70519933504	2.41199679012	1.90744412813
