	Inchikey		 zero-point	      Enthalpy		  Free-energy
GFJVXXWOPWLRNU-UHFFFAOYSA-N    -267.08656000        -267.08044200        -267.11485000       
GAJYHLUYMIZKMD-UHFFFAOYSA-N    -342.19717200        -342.19077400        -342.22589900       
FQERLIOIVXPZKH-UHFFFAOYSA-N    -343.40323000        -343.39731300        -343.43144600       
FMGBGGSVWWXHHO-GSVOUGTGSA-N    -342.20834900        -342.20223200        -342.23678200       
AZIQALWHRUQPHV-UHFFFAOYSA-N    -342.21949100        -342.21186300        -342.25005500       
UTLVMFCPERHVKU-GSVOUGTGSA-N    -343.40695500        -343.39855900        -343.43856800       
VSLDDSJTIWMSPL-UHFFFAOYSA-N    -342.12707000        -342.12118400        -342.15520300       
NCTDTKHCTAWTHU-UHFFFAOYSA-N    -342.31022200        -342.30312800        -342.33989600       
WVKOKNQPFFEMSR-UHFFFAOYSA-N    -227.76570800        -227.76038300        -227.79197500       
CKFGINPQOCXMAZ-UHFFFAOYSA-N    -190.89159800        -190.88647300        -190.91703400       
XTIVMLJPNCRJDY-UHFFFAOYSA-N    -227.63553500        -227.62965200        -227.66230700       
MHAJPDPJQMAIIY-UHFFFAOYSA-N    -151.52144900        -151.51728200        -151.54376100       
QWFOJYBHKFALKR-UHFFFAOYSA-N    -343.39966000        -343.39171700        -343.43074700       
HSQJTKGDYLTAKQ-UHFFFAOYSA-N    -342.24690900        -342.23976900        -342.27705200       
JRUKHAIVAGVYRP-VKHMYHEASA-N    -343.51486000        -343.50685600        -343.54587600       
MIFXURDBXVFMHR-UHFFFAOYSA-N    -267.04198300        -267.03522400        -267.07116500       
TWGSXTJXQLNWNP-GSVOUGTGSA-N    -343.48778000        -343.48133100        -343.51689800       
KUDUADQPAQKPEH-UHFFFAOYSA-N    -342.13581600        -342.12784000        -342.16700300       
COYCHYMPNMUQTC-UHFFFAOYSA-N    -343.43057900        -343.42251400        -343.46230600       
MLMWEBWZFDJRKJ-UHFFFAOYSA-N    -266.93527500        -266.92830900        -266.96436000       
GNVILSSSAMKPLR-UHFFFAOYSA-N    -343.43633400        -343.42817000        -343.46821700       
VHWYCFISAQVCCP-UHFFFAOYSA-N    -230.17045800        -230.16432000        -230.19800200       
RGNLCYKNGPYALI-UHFFFAOYSA-N    -343.50001500        -343.49222700        -343.53107200       
BXNKCKFDLBMOTA-UHFFFAOYSA-N    -341.05477400        -341.04936400        -341.08255700       
JSLXSEGNIPIFLF-UHFFFAOYSA-N    -302.90155800        -302.89487700        -302.93062700       
CXMXXUXSRBBZSC-GSVOUGTGSA-N    -343.38823800        -343.38030500        -343.41889200       
QTBSBXVTEAMEQO-UHFFFAOYSA-N    -229.02492500        -229.01938000        -229.05195200       
LZBZEBHQVXRLLN-UHFFFAOYSA-N    -343.38334500        -343.37540500        -343.41438000       
IZHVFAKMAKGJLM-VKHMYHEASA-N    -343.41181200        -343.40518600        -343.44096300       
KCZUDCXKVKUHCH-UHFFFAOYSA-N    -343.31109300        -343.30302200        -343.34231500       
IMROMDMJAWUWLK-UHFFFAOYSA-N    -153.76043200        -153.75586100        -153.78489000       
MQZTXKZTLDDYNK-UHFFFAOYSA-N    -343.48452400        -343.47689400        -343.51543000       
XKRYVGDYTMIZST-VKHMYHEASA-N    -343.47924000        -343.47124300        -343.51045600       
UFHFLCQGNIYNRP-UHFFFAOYSA-N    -1.16533800          -1.16203300          -1.17682500         
MFKZDADVASPENT-OWOJBTEDSA-N    -343.38718800        -343.37903900        -343.41853700       
XKTYXVDYIKIYJP-UHFFFAOYSA-N    -266.98288200        -266.97822400        -267.00940400       
NEZWFWIACBUQMN-UHFFFAOYSA-N    -266.02448600        -266.01853400        -266.05177600       
UGFAIRIUMAVXCW-UHFFFAOYSA-N    -113.31230400        -113.30899900        -113.33144100       
KQBGNBDMOJYJAO-UHFFFAOYSA-N    -343.38565200        -343.37767800        -343.41749800       
FNWLCNZUVROOFW-UHFFFAOYSA-N    -343.39366300        -343.38552900        -343.42504100       
OAFRVESFETYZKN-UHFFFAOYSA-N    -342.18675700        -342.17885800        -342.21828700       
NCCRMMIIRYTOBF-UHFFFAOYSA-N    -342.21692500        -342.20942100        -342.24803600       
PUVHYYICZICZGV-GSVOUGTGSA-N    -343.32536400        -343.31728000        -343.35606700       
VNWKTOKETHGBQD-UHFFFAOYSA-N    -40.47559600         -40.47178600         -40.49526700        
HSFWRNGVRCDJHI-UHFFFAOYSA-N    -77.30809200         -77.30389200         -77.32281800        
WEWAPBZNGSPYOY-SFOWXEAESA-N    -342.16039000        -342.15226100        -342.19232000       
BPEDXNYOTVMGJB-NSCUHMNNSA-N    -343.39275000        -343.38427200        -343.42411500       
LEQAOMBKQFMDFZ-UHFFFAOYSA-N    -227.79558500        -227.79042700        -227.82191400       
RCTBAXSXJSMBPW-IHWYPQMZSA-N    -343.39721100        -343.38888800        -343.42815100       
BLCYQHVXVAUROS-UHFFFAOYSA-N    -342.19607500        -342.18781100        -342.22742400       
GZTMCZAOQTVOJK-UHFFFAOYSA-N    -342.32295000        -342.31761200        -342.35102800       
KYKDRUWGNWYQSD-GSVOUGTGSA-N    -343.41435900        -343.40773400        -343.44356900       
IJNJLGFTSIAHEA-UHFFFAOYSA-N    -190.62071200        -190.61549500        -190.64663500       
SCKXCAADGDQQCS-UHFFFAOYSA-N    -264.85366600        -264.84819600        -264.88018400       
WSMYVTOQOOLQHP-UHFFFAOYSA-N    -267.08995400        -267.08338200        -267.11989000       
CCGKOQOJPYTBIH-UHFFFAOYSA-N    -152.57562100        -152.57115100        -152.59923400       
KQBSGRWMSNFIPG-UHFFFAOYSA-N    -343.32494600        -343.31928000        -343.35304900       
NTKXXOVKNHRVFH-UHFFFAOYSA-N    -342.20048200        -342.19281600        -342.23150500       
OKKJLVBELUTLKV-UHFFFAOYSA-N    -115.67389800        -115.66963800        -115.69664500       
