Internals 	 minnodeR: 0 	 TSnode: 4 	 minnodeP: 8
Translation-X 1-12	1.03242416667	1.0918770964	1.03242416833
Translation-Y 1-12	1.11165916667	1.02439787602	1.11165916917
Translation-Z 1-12	-1.5029925	-1.54208741469	-1.5029925
Rotation-A 1-12	1.34459291497e-06	0.00584293183579	1.687770585e-06
Rotation-B 1-12	1.83926122927e-07	5.16344077263e-05	-9.83396388526e-07
Rotation-C 1-12	-2.99982376298e-07	-0.02233114273	-1.10535820516e-06
Distance 1-9	1.09263240087	1.08940247557	1.08979340673
Distance 1-2	1.53985314737	1.53950740706	1.52237741997
Distance 1-4	1.3983720271	1.39942366547	1.42049693377
Distance 1-8	1.096794669	1.09731327491	1.0984594638
Distance 2-3	1.5089267607	1.51232677708	1.52561250784
Distance 2-12	1.08902728932	1.08866519094	1.09145940984
Distance 2-11	1.09039793995	1.08828365611	1.08668868241
Distance 3-5	2.73427073301	1.6212773104	1.34391935039
Distance 3-6	1.19795709008	1.18268055188	1.19066281417
Distance 3-10	1.10468971978	1.7606132507	3.42423929096
Distance 4-5	1.42923428226	1.40863604903	1.41243319597
Distance 5-7	0.966333119897	1.46900609709	3.31969022057
Distance 7-10	3.4732236374	1.4480541855	0.777783460966
Angle 2-1-9	1.93021105917	1.98431209703	2.00069252195
Angle 2-1-4	1.97291660672	1.80948356096	1.82815544391
Angle 2-1-8	1.91086872537	1.93569880075	1.94438069477
Angle 4-1-9	1.79796942672	1.88500348347	1.84680467387
Angle 4-1-8	1.92933349745	1.93397443823	1.92013389565
Angle 8-1-9	1.92003288696	1.91263564825	1.91812881803
Angle 1-2-3	1.90372721705	1.75099233853	1.75697013567
Angle 1-2-12	1.91295222312	1.94269303981	1.97082290278
Angle 1-2-11	1.87777142521	1.95787174706	1.99558418
Angle 3-2-12	1.93897442927	1.93802685187	1.8889326767
Angle 3-2-11	1.90349930659	1.9558384216	1.93951803275
Angle 11-2-12	1.9257481733	1.91424128811	1.90554516186
Angle 2-3-5	1.42632857391	1.77932308327	1.90182964615
Angle 2-3-10	2.00416250137	1.76015207871	1.51786324245
Angle 5-3-6	1.88175368512	1.9510568293	2.13521863769
Angle 5-3-10	1.36884308208	1.33099451247	1.39573309897
Angle 6-3-10	2.11679993211	2.06983700779	1.76901756292
Angle 1-4-5	1.90665424947	1.79683627821	1.87105407877
Angle 3-5-7	2.73754927627	1.61698426304	1.19089387921
Angle 4-5-7	1.78561877963	1.96039311384	1.69365755019
Angle 5-7-10	0.607320630725	1.59842804445	1.62954693253
Angle 3-10-7	1.56888573334	1.5334914674	1.01449177368
Out-of-Plane 3-2-6-10	-0.00960557328257	0.441299639636	1.23290404997
Out-of-Plane 5-3-4-7	-0.18248343002	-0.747751015814	-1.55441646308
Dihedral 9-1-2-3	3.03748837179	-2.8321404807	-2.4620947052
Dihedral 9-1-2-12	-1.11933448145	-0.780221680539	-0.452091498055
Dihedral 9-1-2-11	0.974975065114	1.37212098406	1.74080186203
Dihedral 4-1-2-3	-1.24007641596	-0.789944769497	-0.446052381723
Dihedral 4-1-2-12	0.88628603799	1.26197403066	1.56395082543
Dihedral 4-1-2-11	2.98059558455	-2.86886861192	-2.52634112167
Dihedral 8-1-2-3	0.91903886382	1.28645365645	1.62919137259
Dihedral 8-1-2-12	3.04540131777	-2.94481285057	-2.64399072744
Dihedral 8-1-2-11	-1.14347444285	-0.792470185972	-0.451097367356
Dihedral 9-1-4-5	-2.99653119362	3.02259367176	2.62630249122
Dihedral 2-1-4-5	1.20307244905	0.912049871708	0.505760185843
Dihedral 8-1-4-5	-0.94584894197	-1.16553371437	-1.58577321568
Dihedral 1-2-3-5	0.542851603349	0.361343675964	0.243807862738
Dihedral 1-2-3-6	-1.30626451402	-1.99704216716	-2.89003296081
Dihedral 1-2-3-10	1.81873614376	1.72400707796	1.61055427838
Dihedral 12-2-3-5	-1.56768505359	-1.69402301447	-1.82679625214
Dihedral 12-2-3-6	2.86638413621	2.23077644959	1.32254823149
Dihedral 12-2-3-10	-0.291800513178	-0.331359612471	-0.460049836497
Dihedral 11-2-3-5	2.58913942425	2.44174895701	2.36423348276
Dihedral 11-2-3-6	0.740023306873	0.0833631138807	-0.769607340784
Dihedral 11-2-3-10	-2.41816134252	-2.47877294818	-2.55220540877
Dihedral 2-3-5-4	-0.0331999341187	0.141855464899	0.0549509936315
Dihedral 2-3-5-7	1.98650002124	2.13094584729	1.61946936145
Dihedral 6-3-5-4	2.11390780533	2.68894670017	-3.09380273371
Dihedral 6-3-5-7	-2.14957754649	-1.60514822461	-1.52928436589
Dihedral 10-3-5-4	-2.08530352161	-1.57579137657	-1.3979703774
Dihedral 10-3-5-7	-0.0656035662453	0.413299005822	0.166547990414
Dihedral 2-3-10-7	-1.30406470745	-2.16125153182	2.10880325972
Dihedral 5-3-10-7	0.00717069126716	-0.419487906701	-2.25677571842
Dihedral 6-3-10-7	1.8214095719	1.45799139609	-0.140820544439
Dihedral 1-4-5-3	-0.551020374839	-0.644042286031	-0.361878740849
Dihedral 1-4-5-7	2.96154405472	-2.37778380497	-1.57221894607
Dihedral 3-5-7-10	0.0358025952663	-0.494432274364	-2.33787772965
Dihedral 4-5-7-10	2.00644199733	1.38136890314	-0.435796248098
Dihedral 5-7-10-3	-0.0348383905493	0.45205512773	0.314145950064
Angle 2-3-6	2.16210151495	2.31277756152	2.24611077444
Angle 3-5-4	1.52429173784	1.8337784049	1.92328763071
Out-of-Plane 3-2-5-6	0.424353385561	0.302019490389	0.00357699498706
