Internals 	 minnodeR: 0 	 TSnode: 4 	 minnodeP: 8
Translation-X 1-12	1.03240916667	1.01037289778	1.03240916667
Translation-Y 1-12	1.11162416667	1.07564076519	1.11162416583
Translation-Z 1-12	-1.50298333333	-1.49977073635	-1.5029833325
Rotation-A 1-12	1.76569555819e-06	-0.0749368920131	-3.31337659725e-07
Rotation-B 1-12	1.76253858505e-06	0.0903225385914	1.42026981228e-05
Rotation-C 1-12	1.94417006924e-06	-0.0351792172977	8.30043302935e-06
Distance 1-9	1.09300819037	1.09287553566	1.0778391238
Distance 1-2	1.53318116691	1.42274859654	1.32110633625
Distance 1-4	1.40160465307	1.63730543454	3.34943881079
Distance 1-8	1.09723624071	1.08466742496	1.07833972163
Distance 2-3	1.50135999489	3.27588962862	4.93048952925
Distance 2-12	1.09454923315	1.0550478251	1.07872706399
Distance 2-11	1.08997841857	1.08493329603	1.07854320825
Distance 3-4	2.99708004966	1.82771527897	1.33616325498
Distance 3-6	1.1980856744	1.19383587248	1.18801956135
Distance 3-10	1.10666211021	1.07651881051	1.10500193432
Distance 4-5	1.43048225913	1.43542554972	1.41112168447
Distance 5-7	0.965383267896	0.943714604524	0.984207471602
Angle 2-1-9	1.94215626572	2.07399255408	2.12896069731
Angle 2-1-4	1.97544469325	1.63339641733	1.5868069575
Angle 2-1-8	1.91268136661	2.28862613482	2.12850866689
Angle 4-1-9	1.79957251489	1.54002723882	1.22906257378
Angle 4-1-8	1.92145245323	2.13426022019	1.8985643243
Angle 8-1-9	1.909458928	1.6789628907	2.02570712351
Angle 1-2-3	1.9557983187	1.21262855316	1.24104158474
Angle 1-2-12	1.88015568192	2.30891874315	2.13081026112
Angle 1-2-11	1.93055756387	1.78717934935	2.12772925025
Angle 3-2-12	1.87082040178	2.11889177218	2.07324082161
Angle 3-2-11	1.92746993048	1.9044717862	1.45930595519
Angle 11-2-12	1.8965302251	1.98932702917	2.02409345312
Angle 2-3-10	1.97667715961	1.98032671459	1.82376950657
LinearAngleX 4-3-6	-0.0133512449113	0.164914190943	0.498560713106
LinearAngleY 4-3-6	-0.147111493007	-0.616006503814	-0.837983740547
Angle 6-3-10	2.12076790089	2.10435878435	2.19854146739
Angle 1-4-3	0.989502122828	2.18855619808	2.97887519883
Angle 1-4-5	1.9087790312	1.83158525879	1.23048135199
Angle 3-4-5	1.86065568703	1.92049634762	1.96416739945
Angle 4-5-7	1.7833717529	1.84915113847	1.7839031596
Out-of-Plane 3-2-4-6	-0.0843703039053	-0.264862113733	-2.09939930584
Out-of-Plane 3-2-4-10	0.0944588746261	0.480904026101	0.458896941207
Out-of-Plane 3-2-6-10	-0.00508655112551	-0.00542343070479	-0.0638545443692
Out-of-Plane 3-4-10-6	-0.111122764712	-0.256105483982	0.00337240648016
Dihedral 9-1-2-3	-0.918135065985	-1.08808643446	-1.19280563849
Dihedral 9-1-2-12	-2.97177220798	-3.08312179015	3.12309676543
