file_name,RMSD,max_dis,max_Hdis,min_cross_dis,min_Hcross_dis,path_cross,Rtype
pp_0-pp_3_0,1.1402575165724826,3.820198975537933,3.4270519528832475,1.2421586367353818,1.0304635423910284,2.0,1
pp_0-pp_22_1,0.5663873720839593,2.5788028278250184,3.079220082917262,1.4107023381312855,0.9175871071296852,2.0,1
pp_0-pp_21_0,1.2587454460188452,2.8726565102349424,2.702417462329827,1.1569510388289712,0.8783558811346992,2.0,0
pp_0-pp_19_0,0.6157215243417768,2.0,2.948723753965433,2.0,0.6559866809329397,2.0,1
pp_0-pp_12_0,1.0447812004329986,3.1707875559077103,3.3099009761414604,1.308635054672402,0.9557208041217635,2.0,1
pp_0-pp_20_1,0.7512153063155568,2.0,3.678849109703412,2.0,0.9886847913025264,2.0,0
pp_0-pp_21_1,1.2593638647520964,2.871243322141118,2.703260075613855,1.157625327554573,0.8788404504488048,2.0,0
pp_0-pp_18_0,2.226422672733899,4.635437500364096,4.2393750264778545,0.030790749657006584,0.05632958830846892,2.0,0
pp_0-pp_9_2,0.9075244104427823,2.5119051233976086,2.172809565083207,0.8464703410508454,0.7188187205148889,2.0,0
pp_0-pp_16_0,0.6715197849159894,3.1952261156528263,2.2060723098983934,1.5238821270345575,0.698450004040845,2.0,1
pp_0-pp_23_0,1.0913661976001143,3.0739811511290625,3.074735561773143,0.9890912269998283,0.516059434910097,2.0,1
pp_0-pp_1_0,1.0589287446977618,2.8493995465396016,2.0,1.0691788645912754,2.0,2.0,1
pp_0-pp_24_0,1.4242905339531742,4.291492427193646,4.057617009191932,0.5376971961000695,0.244780748541574,2.0,0
pp_0-pp_13_2,0.6638041070382319,2.0,3.5644482577242487,2.0,0.8949231640801938,2.0,1
pp_0-pp_6_0,1.047655363187248,3.338407329370258,3.0015988608570914,0.6256133812149774,0.3795819520213325,2.0,0
pp_0-pp_14_0,1.2923282139068415,4.463263203524867,4.103230505212491,0.827162786257995,0.8175965239939752,2.0,1
pp_0-pp_5_0,0.7762256986454802,2.444352046483342,2.0,0.77820237051054,2.0,0.4908968332630114,1
pp_0-pp_15_0,0.7599212525791625,2.309410012572662,1.9604504410242574,0.784235698937565,0.76018284116897,2.0,0
pp_0-pp_25_0,0.9502738062567855,2.734290092378498,3.473226948018946,1.4276802953362442,0.551478737142571,2.0,1
pp_0-pp_8_0,1.7995525245750694,5.035665215133179,3.0971753744736716,0.034713531276284855,0.958310971837628,2.0,1
pp_0-pp_12_1,1.0264242712956873,2.832876172506313,2.768081409186289,1.3019939473161883,1.020196496707649,2.0,1
pp_0-pp_15_1,0.7239127732946317,2.3131885083812764,1.9663084541008662,0.8187738583329954,0.7577469125678893,2.0,0
pp_0-pp_7_0,1.9985935605095257,4.930491667275396,2.0,0.1407520965821372,2.0,0.22405816877504828,1
pp_0-pp_2_0,0.6016785759267449,2.5567911218301393,2.1838953340361433,0.8100296913495963,0.6991063369369043,2.0,0
pp_0-pp_13_0,1.1597176687894253,2.0,4.303387674813488,2.0,0.7781575988922856,2.0,0
pp_0-pp_9_1,0.9958078821526887,2.4455495533326426,2.1701310072753697,0.8131049786658717,0.7229485382823883,2.0,0
pp_0-pp_17_0,1.4501694782864905,3.758705128749969,2.0,0.030453239642497944,2.0,0.5340772945328117,0
pp_0-pp_9_0,1.0637056761188608,2.4729387366432647,2.1568329320043333,0.7936415404491686,0.7264209296104365,2.0,1
pp_0-pp_9_3,0.7216894243720087,2.516595077948576,2.169715857413519,0.8446456243230981,0.7231168579317281,2.0,0
