Internals 	 minnodeR: 0 	 TSnode: 2 	 minnodeP: 8
Translation-X 1-12	1.032415	1.0932148066	1.032415
Translation-Y 1-12	1.1116425	1.15418978285	1.11164250083
Translation-Z 1-12	-1.50298333333	-1.53640886135	-1.50298333333
Rotation-A 1-12	-7.27494027491e-07	-0.00465152504065	-7.46349969968e-08
Rotation-B 1-12	7.81352021474e-07	-0.0104424581967	-3.65832285942e-07
Rotation-C 1-12	-6.58715768416e-07	-0.00413186480894	-1.0148994254e-06
Distance 1-9	1.09691868359	1.07853124927	1.08662188712
Distance 1-2	1.53877892338	1.49414375953	1.53068510351
Distance 1-11	2.14965687638	1.89981296048	1.08760374608
Distance 1-4	1.40108691371	2.16611335215	2.45604303787
Distance 1-8	1.09390209172	1.08099093393	1.08577949407
Distance 2-12	1.09060018498	1.209100617	1.10198545299
Distance 2-3	1.50572961077	1.49228533897	1.51371591728
Distance 2-4	2.47293506359	2.08076408024	1.40979554163
Distance 2-11	1.09159051676	1.12447974997	2.156805693
Distance 3-6	1.19857277074	1.19759927542	1.19577341012
Distance 3-10	1.10365124913	1.09587244357	1.10513777148
Distance 4-5	1.42498239805	1.38392862082	1.42855398741
Distance 5-7	0.967032944595	0.970242048503	0.965401386207
Angle 9-1-11	2.41626048355	2.79093269122	1.90450424145
Angle 2-1-9	1.92275035228	2.22538210079	1.91731323791
Angle 2-1-4	1.99748369415	1.15831078012	0.55567077099
Angle 2-1-8	1.90960170301	1.79154500316	1.90378813658
Angle 4-1-9	1.93023415627	1.82753136567	1.64725947516
Angle 4-1-8	1.7907312585	2.20352600984	2.45651745139
Angle 8-1-9	1.90754398192	2.09469414289	1.91445361673
Angle 1-2-12	1.89897883031	1.27813966232	1.90645072253
Angle 1-2-3	1.94435465738	2.65398806366	1.94583250775
Angle 1-2-11	1.89231729582	1.60424304276	0.494462396695
Angle 3-2-12	1.9113483728	1.69516279799	1.87544673318
Angle 3-2-11	1.89895093335	1.98530817874	1.70487071631
Angle 4-2-12	2.41459904246	2.43787192016	1.89891666193
Angle 4-2-11	1.49705504842	1.28252188183	1.66972668545
Angle 11-2-12	1.91779142435	2.23837981157	2.39981471161
Angle 2-3-10	1.98965660349	2.00813770317	1.97325883748
Angle 6-3-10	2.12210375971	2.1440616687	2.13806320845
Angle 1-4-2	0.602201780932	0.717957401586	0.609853506983
Angle 1-4-5	1.93732278331	1.80477808309	1.69533676859
Angle 2-4-5	1.73719865223	1.83134934174	1.90174011512
Angle 4-5-7	1.80040351658	1.80620559894	1.78006929189
Angle 1-11-2	0.746595149263	0.904358924429	0.731370104991
Out-of-Plane 1-2-11-9	-0.111632593116	-0.118731081499	-0.57999455649
Out-of-Plane 1-4-11-9	0.292756736996	0.104302020153	-0.647763435292
Out-of-Plane 1-8-11-9	-0.314717176751	-0.0296976784628	0.617430211834
Out-of-Plane 2-1-4-12	-0.20471133444	0.279868177669	0.546624524144
Out-of-Plane 2-3-4-12	-0.243693491466	-0.354077767197	-0.576918357142
Out-of-Plane 3-2-6-10	-0.0106483822359	0.0213351655038	-0.00119431381006
Dihedral 9-1-2-12	-1.2201172768	-1.18076766228	-0.989887171433
Dihedral 9-1-2-3	0.888698323302	0.0940834397359	-3.05991617478
Dihedral 9-1-2-4	2.18778197412	1.58435171133	1.12900422892
Dihedral 9-1-2-11	2.9778151204	2.84119943418	2.09416208557
Dihedral 11-1-2-12	2.08525290998	2.26121821072	-3.08404925701
Dihedral 11-1-2-3	-2.0891167971	-2.74711599445	1.12910704683
Dihedral 11-1-2-4	-0.79003314628	-1.25684772285	-0.965157856652
Dihedral 4-1-2-12	2.87528605626	-2.76511937361	-2.11889140036
Dihedral 4-1-2-3	-1.29908365082	-1.4902682716	2.09426490348
Dihedral 4-1-2-11	0.79003314628	1.25684772285	0.965157856652
Dihedral 8-1-2-12	0.877313854341	1.34884383046	1.10905891961
Dihedral 8-1-2-3	2.98612945445	2.62369493247	-0.960970083739
Dihedral 8-1-2-4	-1.99797220192	-2.16922210311	-3.05523498722
Dihedral 8-1-2-11	-1.20793905564	-0.912374380262	-2.09007713057
Dihedral 9-1-11-2	-0.232811051004	-0.752307089355	-2.10194697622
Dihedral 4-1-11-2	-2.43712326572	-1.56041658396	-0.448588203078
Dihedral 8-1-11-2	2.04581881881	2.24035791155	2.08751607009
Dihedral 9-1-4-2	-2.18384629511	-2.17999469598	-2.12037100245
Dihedral 9-1-4-5	-0.860830440515	-0.479136617045	-0.146135730414
Dihedral 2-1-4-5	1.32301585459	1.70085807893	1.97423527204
Dihedral 11-1-4-2	0.349834163864	0.701916002955	2.25691133272
Dihedral 11-1-4-5	1.67285001846	2.40277408189	-2.05203870242
Dihedral 8-1-4-2	2.06659719797	1.54628860724	0.129185474122
Dihedral 8-1-4-5	-2.89357225462	-3.03603862101	2.10342074616
Dihedral 1-2-3-6	-2.0007794703	-1.43624177085	0.82313972156
Dihedral 1-2-3-10	1.12259532804	1.74270959934	-2.3204807181
Dihedral 12-2-3-6	0.1007749578	-0.260475823223	-1.2653345903
Dihedral 12-2-3-10	-3.05903555103	2.91847554697	1.87423027722
Dihedral 4-2-3-6	-2.53069073597	-2.79094682461	2.98586139429
Dihedral 4-2-3-10	0.592684062371	0.388004545585	-0.157759045363
Dihedral 11-2-3-6	2.19722400746	2.13840940896	1.27084775729
Dihedral 11-2-3-10	-0.962586501378	-0.965824528027	-1.87277268237
Dihedral 1-2-4-5	-1.97923446139	-1.63034543741	-1.305272867
Dihedral 12-2-4-1	-0.384217754899	0.575217239638	2.12312440498
Dihedral 12-2-4-5	-2.36345221629	-1.05512819778	0.81785153798
Dihedral 3-2-4-1	1.99244260182	2.64113352564	-2.14384496957
Dihedral 3-2-4-5	0.0132081404232	1.01078808822	2.83406747061
Dihedral 11-2-4-1	-2.39952876009	-1.70124868614	-0.402880709322
Dihedral 11-2-4-5	1.9044220857	2.95159118363	-1.70815357632
Dihedral 12-2-11-1	-2.07340607935	-1.22261266444	0.0804630860263
