Internals 	 minnodeR: 0 	 TSnode: 5 	 minnodeP: 8
Translation-X 1-12	1.03241666667	1.0073302644	1.032416665
Translation-Y 1-12	1.11165	1.09192711902	1.11165
Translation-Z 1-12	-1.5029925	-1.50413494423	-1.50299250083
Rotation-A 1-12	4.43267042646e-08	0.00410115605543	-1.57960997653e-08
Rotation-B 1-12	-7.69425574265e-07	-0.00750148803472	1.80016817263e-08
Rotation-C 1-12	6.73404978561e-07	-0.000550558397316	-1.12610495615e-07
Distance 1-9	1.09870602322	1.78925086897	2.76804576901
Distance 1-2	1.52461815727	1.39500555425	1.32325040921
Distance 1-4	1.40819343959	1.33423562018	1.35966965468
Distance 1-8	1.09735513479	1.0833514346	1.08117455525
Distance 2-3	1.50154581849	1.8799737291	2.83285945128
Distance 2-12	1.09053246545	1.07513939455	1.07191087088
Distance 2-11	1.09496864715	1.07774112347	1.07501741358
Distance 3-9	2.70978065838	1.50567475582	1.10146957181
Distance 3-6	1.19627883181	1.19781861374	1.19509029099
Distance 3-10	1.10819104693	1.08189909268	1.10197684764
Distance 4-5	1.42706179668	1.42310138594	1.42084374171
Distance 5-7	0.96579575793	0.967145183857	0.96667301412
Angle 2-1-9	1.93664048629	1.65807130389	1.62284811049
Angle 2-1-4	1.85435217624	2.09680635583	2.11023270697
Angle 2-1-8	1.94224705787	2.11127622475	2.16651130602
Angle 4-1-9	1.91419525138	1.66886688506	1.49165092545
Angle 4-1-8	1.91868002287	2.02981067416	2.00643497658
Angle 8-1-9	1.89750663112	1.66666110426	1.59541195256
Angle 1-2-3	1.96544661462	1.47826001706	1.39128854347
Angle 1-2-12	1.9366832321	2.0351454749	2.10082801084
Angle 1-2-11	1.88465215558	2.12052332505	2.11761910905
Angle 3-2-12	1.92314244171	1.78177808405	1.57679342277
Angle 3-2-11	1.8689806264	1.86430839462	1.78185763
Angle 11-2-12	1.88132716098	2.02978686664	2.06407461003
Angle 9-3-10	1.09038640338	1.56454046427	1.99658211379
Angle 2-3-10	1.98315143836	1.7197613638	1.31361693089
LinearAngleX 6-3-9	-0.153995261244	-0.366802389505	-0.408370509195
LinearAngleY 6-3-9	-0.16220986102	-0.769959752566	-0.86547939561
Angle 1-4-5	1.89493405508	1.9542048497	1.93670378259
Angle 4-5-7	1.7824648201	1.80198174582	1.79569060395
Angle 1-9-3	1.19044807168	1.48293231819	1.49893661588
Out-of-Plane 3-2-9-10	0.14827312249	0.692614044014	0.643404735179
Out-of-Plane 3-2-6-9	0.30713258804	0.58898992058	0.503419927961
Out-of-Plane 3-2-6-10	-0.0135910605303	-0.392226375355	-0.566604828256
Out-of-Plane 3-6-10-9	0.294582865653	0.436475591649	0.0262692278008
Dihedral 2-1-9-3	-0.430623385664	-0.417645169158	-0.510304567785
Dihedral 4-1-9-3	-2.47396508808	-2.52950398284	-2.61841713264
Dihedral 8-1-9-3	1.71086000021	1.70858223882	1.65888383964
Dihedral 9-1-2-3	0.859847476057	0.33100168227	0.193728782996
Dihedral 9-1-2-12	3.02492654647	2.09168223392	1.66509679971
Dihedral 9-1-2-11	-1.19999395479	-1.52765650829	-1.51632105424
Dihedral 4-1-2-3	2.93950410534	2.0669978452	1.70340381124
Dihedral 4-1-2-12	-1.17860213142	-2.45550691033	-3.10841347922
Dihedral 4-1-2-11	0.879662674498	0.20833965464	-0.00664602599533
Dihedral 8-1-2-3	-1.25552084442	-1.40510807084	-1.44220496437
Dihedral 8-1-2-12	0.909558225998	0.355572480812	0.0291630523456
Dihedral 8-1-2-11	2.96782303192	3.01941904578	3.13093050557
Dihedral 9-1-4-5	-1.04347128889	-1.2452584533	-1.4469043746
Dihedral 2-1-4-5	-3.13777292404	-2.97512057185	-3.03104999521
Dihedral 8-1-4-5	1.04195265391	0.482086420364	0.114209469506
Dihedral 1-2-3-9	-0.366127484632	-0.395225518608	-0.506458158495
Dihedral 1-2-3-6	2.5004696992	1.88615943958	1.67193099845
Dihedral 1-2-3-10	-0.664163127907	-1.95388707795	-2.4945250639
Dihedral 12-2-3-9	-2.53866839896	-2.42172010992	-2.61562516936
Dihedral 12-2-3-6	0.327928784869	-0.140335151725	-0.437236012409
Dihedral 12-2-3-10	-2.83670404223	2.30280363792	1.67949323242
Dihedral 11-2-3-9	1.70291591863	1.72253053952	1.58976508635
Dihedral 11-2-3-6	-1.71367220472	-2.27926980947	-2.51503106388
Dihedral 11-2-3-10	1.40488027535	0.163868980179	-0.398301819048
Dihedral 2-3-9-1	0.51655786616	0.304749915922	0.230799399367
Dihedral 10-3-9-1	-2.93326155797	2.02487105479	1.55938889189
Dihedral 1-4-5-7	-3.09181665378	-3.00055644879	-2.76436628918
Angle 2-3-9	0.929627094206	1.5321429738	1.65998928482
Angle 2-3-6	2.18302509455	1.86325858424	1.75927771567
Angle 6-3-10	2.11677590601	2.3218462227	2.14230779706
Out-of-Plane 1-2-4-8	-0.528772735338	-0.173563857876	-0.00206596195355
Out-of-Plane 2-1-11-12	0.587593367164	0.274411902469	0.0223351380187
Dihedral 6-3-9-1	-1.0068241696	-1.61485990427	-1.62533254723
