Product list for reactant/KHP.xyz
Index      Indicator                      N-adj_mats      Pathways                                                                                            
48         COOC(=O)C                      3               [(2, [0]), (3, [1]), (6, [0]), (10, [2]), (18, [1]), (25, [0, 1])]                                  
49         CC(=C)OOO                      2               [(2, [0]), (3, [1])]                                                                                
50         CC(=O)C.O=O                    1               [(2, [0]), (11, [0])]                                                                               
51         OOC=C=O.C                      4               [(2, [0, 1]), (3, [2, 3]), (9, [2])]                                                                
52         OO/C=C(/O)\C                   2               [(2, [0, 1])]                                                                                       
53         O=CC(=O)C.O                    4               [(2, [0, 1]), (9, [2]), (14, [0, 3])]                                                               
54         OC(C(=O)C)O                    2               [(2, [0, 1]), (15, [0])]                                                                            
55         COCC(=O)O                      2               [(2, [0]), (3, [1]), (5, [1]), (24, [1])]                                                           
56         OCC(=O)CO                      4               [(2, [0, 1, 2]), (4, [0]), (5, [3]), (21, [1]), (24, [0])]                                          
57         O=C1COOC1.[H][H]               5               [(2, [0, 1, 2]), (6, [0, 3, 4]), (25, [0])]                                                         
58         C[C@H]1COOO1                   9               [(2, [0]), (6, [1]), (9, [2]), (23, [0, 2, 3, 4, 5, 6, 7, 8])]                                      
59         CC=C=O.OO                      3               [(3, [0, 1]), (8, [0]), (9, [2]), (10, [0, 1]), (20, [0, 2])]                                       
60         C.C=C=O.O=O                    1               [(3, [0]), (11, [0])]                                                                               
61         C=O.C=C=O.O                    5               [(3, [0, 1, 2]), (4, [2]), (12, [3]), (14, [0, 4])]                                                 
62         OCO.C=C=O                      3               [(3, [0, 1, 2]), (5, [2]), (15, [0]), (24, [2])]                                                    
63         COC(=O)CO                      2               [(3, [0]), (4, [0]), (6, [1]), (10, [0]), (17, [0])]                                                
64         COO.OC#C                       2               [(3, [0, 1]), (19, [0])]                                                                            
65         COC=C=O.O                      2               [(3, [0, 1])]                                                                                       
66         CO.OC=C=O                      2               [(3, [0, 1]), (21, [0])]                                                                            
67         COOC=C=O.[H][H]                4               [(3, [0, 1]), (6, [2, 3]), (20, [2])]                                                               
68         COOC(=C)O                      2               [(3, [0, 1]), (22, [0])]                                                                            
69         CO[C@@H](C=O)O                 6               [(4, [0, 1]), (5, [0, 1, 2, 3]), (6, [4, 5]), (9, [0]), (21, [0])]                                  
70         C#[O].OCC=O.[H][H]             1               [(4, [0])]                                                                                          
71         O=CC=O.CO                      6               [(4, [0, 1]), (5, [2, 3]), (6, [4, 5]), (9, [2]), (21, [4])]                                        
72         OC=O.CC=O                      8               [(4, [0, 1]), (5, [0, 1]), (9, [2]), (14, [0, 3, 4, 5]), (15, [0, 6]), (18, [4, 7])]                
73         O=CC(C=O)O.[H][H]              6               [(4, [0, 1, 2, 3]), (13, [0]), (14, [0, 1, 4, 5]), (21, [0, 2])]                                    
74         OCC(=O)C=O.[H][H]              3               [(4, [0, 1]), (21, [2])]                                                                            
75         O=COCC=O.[H][H]                6               [(4, [0, 1]), (5, [2, 3]), (17, [4, 5])]                                                            
76         C=O.C=[OH].C=O                 2               [(4, [0, 1])]                                                                                       
77         C=O.CO.C#[O]                   1               [(4, [0]), (16, [0])]                                                                               
78         C=O.C=O.C=O                    1               [(4, [0])]                                                                                          
79         C=O.COC=O                      2               [(4, [0]), (6, [1]), (17, [1]), (18, [0])]                                                          
80         C=O.O=CC=[OH].[H][H]           1               [(4, [0])]                                                                                          
81         C=O.O/C=C\O                    5               [(4, [0, 1]), (12, [2, 3]), (19, [0]), (21, [2, 4])]                                                
82         C=O.OC=C=O.[H][H]              2               [(4, [0, 1]), (20, [0])]                                                                            
83         C=O.O=CC=O.[H][H]              2               [(4, [0, 1])]                                                                                       
84         C=[OH].OCC=O                   6               [(5, [0, 1]), (15, [0, 2]), (21, [3, 4, 5])]                                                        
85         O=CC/[O]=C\O.[H][H]            1               [(5, [0])]                                                                                          
86         OC1OCCO1                       4               [(5, [0, 1]), (17, [2, 3]), (22, [2])]                                                              
